beat,workload
101,0.6136362557637052
102,1.1584571926141751
103,1.1742158214562162
104,0.9072694002174176
105,0.7875354966537679
106,0.8749602516367504
107,0.6407981135165702
108,0.7682133587770944
109,0.7043869525123445
110,0.6937756144981057
111,1.333940215297408
112,0.7610863407078295
113,0.9245326217629705
114,0.7865060384882075
201,1.152446041546674
202,0.8298896315025117
203,0.8298896315025117
204,1.1646179815483404
205,1.0827109686204597
206,4.1091286062570385
207,2.172099598769611
208,2.130765719180619
209,0.9504256484634591
210,2.291452232674841
211,2.891596496645898
212,1.8122666224703452
213,1.8122666224703452
301,0.7804120317615741
302,1.2590722668779626
303,2.0082130120213924
304,1.5316482754928178
305,0.7678390402346914
306,1.0358210711762625
307,1.3727933633166263
308,0.6068080333711549
309,1.1765418609579117
310,0.9974573277993639
311,0.9377356180466709
312,0.7784777253728228
313,0.9008226044613358
401,1.6257368502639837
402,0.7745974749821138
403,0.8901478812162209
404,0.6127449556116447
405,0.83769947
406,0.8955566236356898
407,1.0794538658976305
408,0.5336625853875926
409,1.2082802762522522
410,0.99832273
411,0.8812972118025447
412,0.9607893352401928
413,0.7019072548901614
414,1.0691280849150082
501,1.9443654191736934
502,1.5023647801802038
503,2.956303973476512
504,1.3592749815168228
505,1.866493951232978
506,1.365367232769958
507,1.3456845748752135
508,1.8254103081669635
509,1.870243028927215
510,1.641783606934644
511,0.8939207127196482
512,1.4508149618844444
601,0.8557812647402768
602,1.5230019228494382
603,1.538728748466661
604,2.196593961593269
605,1.4175918660201532
606,1.5413095608756413
607,0.8790085764210986
608,0.4998711034643517
609,0.9708693681032373
610,0.7116590217762889
611,0.7248050349845319
612,0.8842508516268397
613,1.0578911365185384
614,0.6010066897412631